
央视频道,#genre#
电影天地,http://nas.201606.xyz:4022/udp/239.11.0.177:5140
都市剧场,http://nas.201606.xyz:4022/udp/239.11.0.175:5140
都市剧场,http://nas.201606.xyz:4022/udp/239.10.0.106:5140
峨眉电影,http://nas.201606.xyz:4022/udp/239.11.0.11:5140
风云剧场,http://nas.201606.xyz:4022/udp/239.10.0.203:5140
广西影视,http://110.72.81.174:808/hls/201/index.m3u8
欢笑剧场,http://nas.201606.xyz:4022/udp/239.10.0.129:5140
家庭影院,http://nas.201606.xyz:4022/udp/239.11.0.179:5140
经典剧场,http://nas.201606.xyz:4022/udp/239.11.0.178:5140
经典影视,http://nas.201606.xyz:4022/udp/239.11.0.173:5140
热播剧场,http://nas.201606.xyz:4022/udp/239.11.0.171:5140
四川影视,http://nas.201606.xyz:4022/udp/239.11.0.77:5140
天府影院,http://nas.201606.xyz:4022/udp/239.10.0.188:5140
我看剧场,http://nas.201606.xyz:4022/udp/239.10.0.204:5140
影视精选,http://nas.201606.xyz:4022/udp/239.11.0.170:5140
优视影院,http://nas.201606.xyz:4022/udp/239.11.0.172:5140
HD看电影,http://nas.201606.xyz:4022/udp/239.10.0.191:5140
IPTV城市剧场,http://nas.201606.xyz:4022/udp/239.10.0.124:5140
IPTV谍战剧场,http://nas.201606.xyz:4022/udp/239.10.0.123:5140
IPTV古装剧场,http://nas.201606.xyz:4022/udp/239.10.0.126:5140
IPTV家庭影院,http://nas.201606.xyz:4022/udp/239.10.0.127:5140
IPTV经典电影,http://nas.201606.xyz:4022/udp/239.10.0.122:5140
IPTV军旅剧场,http://nas.201606.xyz:4022/udp/239.10.0.125:5140
IPTV热播剧场,http://nas.201606.xyz:4022/udp/239.10.0.121:5140
IPTV武侠剧场,http://nas.201606.xyz:4022/udp/239.10.0.133:5140
IPTV喜剧影院,http://nas.201606.xyz:4022/udp/239.10.0.132:5140
NewTV动作电影,http://nas.201606.xyz:4022/udp/239.11.0.142:5140
NewTV古装剧场,http://nas.201606.xyz:4022/udp/239.11.0.141:5140
NewTV家庭剧场,http://nas.201606.xyz:4022/udp/239.11.0.131:5140
NewTV军旅剧场,http://nas.201606.xyz:4022/udp/239.11.0.143:5140



少儿频道,#genre#
动画,http://nas.201606.xyz:4022/udp/239.10.0.163:5140
动漫秀场,http://nas.201606.xyz:4022/udp/239.10.0.101:5140
嘉佳卡通,http://nas.201606.xyz:4022/udp/239.11.0.203:5140
金鹰卡通,http://nas.201606.xyz:4022/udp/239.11.0.127:5140
卡通动画,http://nas.201606.xyz:4022/udp/239.11.0.181:5140
酷乐卡通,http://nas.201606.xyz:4022/udp/239.10.0.214:5140
奇趣动漫,http://nas.201606.xyz:4022/udp/239.10.0.216:5140
玩具乐园,http://nas.201606.xyz:4022/udp/239.10.0.218:5140
嘻哈动漫,http://nas.201606.xyz:4022/udp/239.10.0.213:5140
新动漫,http://nas.201606.xyz:4022/udp/239.10.0.159:5140
炫酷动漫,http://nas.201606.xyz:4022/udp/239.11.0.186:5140
优漫卡通,http://nas.201606.xyz:4022/udp/239.11.0.63:5140
BTV卡酷少儿,http://nas.201606.xyz:4022/udp/239.11.0.129:5140



地方频道,#genre#
北京,http://110.72.81.174:808/hls/1005/index.m3u8
德阳1,http://nas.201606.xyz:4022/udp/239.10.0.56:5140
